"No","Ch1","Ch2","Ch3","Ch4"
21566,0.218,0.126,0.254,0.402
21567,0.132,0.244,0.378,0.246
21568,0.23,0.38,0.07,0.32
21569,0.476,0.128,0.19,0.206
21570,0.158,0.204,0.542,0.096
21571,0.092,0.548,0.116,0.244
21572,0.152,0.07,0.52,0.258
21573,0.15,0.152,0.214,0.484
21574,0.198,0.29,0.266,0.246
21575,0.074,0.106,0.664,0.156
21576,0.19,0.162,0.254,0.394
21577,0.194,0.142,0.58,0.084
21578,0.31,0.224,0.174,0.292
21579,0.102,0.142,0.182,0.574
21580,0.098,0.39,0.17,0.342
21581,0.262,0.134,0.234,0.37
21582,0.108,0.152,0.4,0.34
21583,0.16,0.126,0.234,0.48
21584,0.22,0.232,0.174,0.374
21585,0.272,0.214,0.126,0.388
21586,0.14,0.444,0.192,0.224
21587,0.07,0.51,0.212,0.208
21588,0.088,0.136,0.53,0.246
21589,0.12,0.112,0.528,0.24
21590,0.082,0.112,0.558,0.248
21591,0.106,0.24,0.394,0.26
21592,0.13,0.318,0.104,0.448
21593,0.566,0.196,0.076,0.162
21594,0.16,0.158,0.246,0.436
21595,0.258,0.164,0.12,0.458
21596,0.11,0.684,0.068,0.138
21597,0.39,0.214,0.096,0.3
21598,0.1,0.396,0.332,0.172
21599,0.306,0.284,0.242,0.168
21600,0.124,0.236,0.112,0.528
21601,0.12,0.148,0.204,0.528
21602,0.078,0.502,0.248,0.172
21603,0.288,0.134,0.222,0.356
21604,0.16,0.156,0.386,0.298
21605,0.11,0.08,0.708,0.102
21606,0.264,0.05,0.44,0.246
21607,0.588,0.138,0.056,0.218
21608,0.154,0.57,0.048,0.228
21609,0.052,0.068,0.538,0.342
21610,0.272,0.356,0.078,0.294
21611,0.078,0.192,0.522,0.208
21612,0.604,0.102,0.218,0.076
21613,0.076,0.238,0.328,0.358
21614,0.084,0.41,0.216,0.29
21615,0.404,0.272,0.036,0.288
21616,0.102,0.076,0.72,0.102
21617,0.222,0.182,0.296,0.3
21618,0.214,0.106,0.35,0.33
21619,0.312,0.18,0.07,0.438
21620,0.062,0.62,0.042,0.276
21621,0.092,0.472,0.132,0.304
21622,0.108,0.294,0.196,0.402
21623,0.304,0.372,0.102,0.222
21624,0.286,0.438,0.114,0.162
21625,0.11,0.138,0.47,0.282
21626,0.468,0.192,0.144,0.196
21627,0.11,0.216,0.46,0.214
21628,0.178,0.554,0.154,0.114
21629,0.38,0.148,0.13,0.342
21630,0.152,0.176,0.156,0.516
21631,0.206,0.14,0.526,0.128
21632,0.104,0.214,0.52,0.162
21633,0.15,0.244,0.246,0.36
21634,0.252,0.534,0.114,0.1
21635,0.102,0.688,0.122,0.088
21636,0.544,0.158,0.142,0.156
21637,0.444,0.312,0.118,0.126
21638,0.238,0.356,0.318,0.088
21639,0.25,0.436,0.12,0.194
