"","Ch1","Ch2","Ch3","Ch4"
"1",0,1,0,0
"2",1,0,0,0
"3",0,1,0,0
"4",0,1,0,0
"5",0,1,0,0
"6",0,1,0,0
"7",0,1,0,0
"8",0,1,0,0
"9",0,1,0,0
"10",0,1,0,0
"11",0,1,0,0
"12",0,1,0,0
"20",0,1,0,0
"21",1,0,0,0
"22",0,0,0,1
"23",0,0,1,0
"24",0,0,0,1
"25",0,0,1,0
"26",0,0,0,1
"27",1,0,0,0
"28",0,0,0,1
"29",0,0,1,0
"30",0,0,0,1
"31",0,0,0,1
"39",0,1,0,0
"40",0,1,0,0
"41",1,0,0,0
"42",0,0,1,0
"43",1,0,0,0
"44",0,0,1,0
"45",0,0,1,0
"46",0,1,0,0
"47",1,0,0,0
"48",1,0,0,0
"49",0,1,0,0
"50",0,1,0,0
"58",0,0,1,0
"59",0,0,0,1
"60",0,1,0,0
"61",0,1,0,0
"62",0,0,1,0
"63",0,0,0,1
"64",0,1,0,0
"65",0,0,1,0
"66",0,0,0,1
"67",1,0,0,0
"68",1,0,0,0
"69",0,0,1,0
"77",0,0,1,0
"78",1,0,0,0
"79",1,0,0,0
"80",1,0,0,0
"81",0,1,0,0
"82",0,0,0,1
"83",0,0,0,1
"84",0,1,0,0
"85",0,1,0,0
"86",1,0,0,0
"87",0,0,0,1
"88",0,0,1,0
"96",1,0,0,0
"97",0,0,1,0
"98",0,1,0,0
"99",0,0,1,0
"100",0,0,1,0
"101",0,1,0,0
"102",0,1,0,0
"103",0,0,0,1
"104",0,0,0,1
"105",1,0,0,0
"106",0,1,0,0
"107",0,0,1,0
"115",0,0,1,0
"116",1,0,0,0
"117",0,0,1,0
"118",0,1,0,0
"119",1,0,0,0
"120",0,1,0,0
"121",1,0,0,0
"122",0,0,1,0
"123",0,1,0,0
"124",0,0,1,0
"125",0,1,0,0
"126",0,1,0,0
"134",1,0,0,0
"135",1,0,0,0
"136",1,0,0,0
"137",0,0,1,0
"138",1,0,0,0
"139",0,0,1,0
"140",0,0,0,1
"141",0,0,1,0
"142",0,0,1,0
"143",0,0,0,1
"144",0,0,0,1
"145",0,0,0,1
"153",1,0,0,0
"154",0,0,1,0
"155",0,0,1,0
"156",0,1,0,0
"157",1,0,0,0
"158",0,0,1,0
"159",1,0,0,0
"160",1,0,0,0
"161",0,1,0,0
"162",0,1,0,0
"163",0,0,0,1
"164",0,0,0,1
"172",1,0,0,0
"173",0,1,0,0
"174",0,0,1,0
"175",1,0,0,0
"176",0,0,0,1
"177",0,0,0,1
"178",1,0,0,0
"179",0,0,0,1
"180",0,0,0,1
"181",0,0,1,0
"182",0,0,1,0
"183",0,1,0,0
"191",0,1,0,0
"192",0,0,1,0
"193",0,0,1,0
"194",1,0,0,0
"195",0,0,1,0
"196",1,0,0,0
