"No","Ch1","Ch2","Ch3","Ch4"
21566,0.214,0.104,0.236,0.446
21567,0.096,0.258,0.394,0.252
21568,0.258,0.33,0.064,0.348
21569,0.482,0.13,0.156,0.232
21570,0.16,0.24,0.508,0.092
21571,0.1,0.514,0.112,0.274
21572,0.156,0.08,0.51,0.254
21573,0.134,0.14,0.212,0.514
21574,0.21,0.326,0.254,0.21
21575,0.076,0.084,0.688,0.152
21576,0.234,0.138,0.218,0.41
21577,0.186,0.12,0.608,0.086
21578,0.274,0.224,0.206,0.296
21579,0.114,0.176,0.166,0.544
21580,0.104,0.362,0.18,0.354
21581,0.296,0.14,0.172,0.392
21582,0.112,0.15,0.414,0.324
21583,0.136,0.152,0.264,0.448
21584,0.21,0.222,0.166,0.402
21585,0.288,0.21,0.13,0.372
21586,0.158,0.432,0.182,0.228
21587,0.096,0.514,0.172,0.218
21588,0.088,0.156,0.526,0.23
21589,0.126,0.12,0.524,0.23
21590,0.112,0.138,0.492,0.258
21591,0.086,0.226,0.38,0.308
21592,0.144,0.286,0.128,0.442
21593,0.5,0.208,0.092,0.2
21594,0.144,0.162,0.226,0.468
21595,0.254,0.17,0.112,0.464
21596,0.134,0.654,0.068,0.144
21597,0.396,0.224,0.112,0.268
21598,0.1,0.372,0.33,0.198
21599,0.276,0.262,0.252,0.21
21600,0.122,0.21,0.112,0.556
21601,0.124,0.148,0.208,0.52
21602,0.1,0.516,0.224,0.16
21603,0.324,0.12,0.168,0.388
21604,0.184,0.148,0.374,0.294
21605,0.092,0.052,0.77,0.086
21606,0.332,0.058,0.404,0.206
21607,0.6,0.134,0.048,0.218
21608,0.122,0.59,0.06,0.228
21609,0.066,0.068,0.57,0.296
21610,0.292,0.392,0.068,0.248
21611,0.06,0.21,0.53,0.2
21612,0.638,0.124,0.19,0.048
21613,0.066,0.242,0.316,0.376
21614,0.08,0.432,0.218,0.27
21615,0.394,0.284,0.062,0.26
21616,0.106,0.06,0.74,0.094
21617,0.21,0.212,0.268,0.31
21618,0.266,0.082,0.358,0.294
21619,0.296,0.158,0.088,0.458
21620,0.042,0.594,0.054,0.31
21621,0.078,0.48,0.118,0.324
21622,0.096,0.366,0.172,0.366
21623,0.282,0.418,0.104,0.196
21624,0.278,0.44,0.094,0.188
21625,0.102,0.124,0.474,0.3
21626,0.428,0.188,0.128,0.256
21627,0.134,0.186,0.45,0.23
21628,0.188,0.552,0.152,0.108
21629,0.366,0.136,0.14,0.358
21630,0.172,0.152,0.13,0.546
21631,0.158,0.126,0.562,0.154
21632,0.114,0.21,0.466,0.21
21633,0.136,0.268,0.272,0.324
21634,0.254,0.51,0.142,0.094
21635,0.094,0.698,0.116,0.092
21636,0.574,0.146,0.126,0.154
21637,0.412,0.382,0.072,0.134
21638,0.27,0.342,0.306,0.082
21639,0.226,0.472,0.15,0.152
21640,0.36,0.276,0.228,0.136
21641,0.288,0.234,0.376,0.102
21642,0.546,0.088,0.218,0.148
21643,0.082,0.258,0.538,0.122
21644,0.254,0.246,0.236,0.264
21645,0.11,0.636,0.104,0.15
21646,0.118,0.116,0.56,0.206
21647,0.116,0.2,0.42,0.264
21648,0.336,0.146,0.39,0.128
21649,0.526,0.154,0.188,0.132
21650,0.11,0.302,0.334,0.254
21651,0.402,0.098,0.186,0.314
21652,0.14,0.074,0.238,0.548
21653,0.554,0.12,0.124,0.202
21654,0.606,0.118,0.148,0.128
21655,0.314,0.066,0.524,0.096
21656,0.304,0.134,0.236,0.326
21657,0.524,0.186,0.148,0.142
21658,0.474,0.098,0.174,0.254
21659,0.56,0.118,0.138,0.184
21660,0.128,0.08,0.228,0.564
21661,0.31,0.156,0.172,0.362
21662,0.076,0.568,0.05,0.306
21663,0.102,0.168,0.638,0.092
21664,0.094,0.388,0.156,0.362
21665,0.256,0.336,0.22,0.188
21666,0.176,0.384,0.104,0.336
21667,0.058,0.312,0.352,0.278
21668,0.292,0.304,0.11,0.294
21669,0.172,0.174,0.174,0.48
21670,0.112,0.338,0.082,0.468
21671,0.034,0.382,0.532,0.052
21672,0.106,0.22,0.246,0.428
21673,0.246,0.388,0.062,0.304
21674,0.226,0.114,0.206,0.454
21675,0.448,0.154,0.07,0.328
21676,0.092,0.618,0.13,0.16
21677,0.736,0.058,0.13,0.076
21678,0.146,0.352,0.438,0.064
21679,0.126,0.414,0.056,0.404
21680,0.436,0.096,0.324,0.144
21681,0.226,0.136,0.164,0.474
21682,0.298,0.348,0.094,0.26
21683,0.368,0.098,0.192,0.342
21684,0.38,0.094,0.158,0.368
21685,0.122,0.344,0.122,0.412
21686,0.106,0.366,0.358,0.17
21687,0.358,0.09,0.316,0.236
21688,0.362,0.158,0.11,0.37
21689,0.13,0.604,0.086,0.18
21690,0.564,0.19,0.084,0.162
21691,0.234,0.464,0.098,0.204
21692,0.086,0.396,0.4,0.118
21693,0.152,0.52,0.102,0.226
21694,0.178,0.26,0.12,0.442
21695,0.268,0.282,0.33,0.12
21696,0.434,0.28,0.106,0.18
21697,0.354,0.322,0.16,0.164
21698,0.208,0.058,0.612,0.122
21699,0.478,0.31,0.034,0.178
21700,0.562,0.198,0.076,0.164
21701,0.572,0.078,0.084,0.266
21702,0.154,0.244,0.092,0.51
21703,0.2,0.25,0.118,0.432
21704,0.15,0.306,0.372,0.172
21705,0.106,0.07,0.618,0.206
21706,0.072,0.43,0.084,0.414
21707,0.112,0.598,0.108,0.182
21708,0.064,0.506,0.214,0.216
21709,0.246,0.118,0.092,0.544
21710,0.266,0.098,0.082,0.554
21711,0.086,0.448,0.292,0.174
21712,0.074,0.294,0.058,0.574
