"","Ch1","Ch2","Ch3","Ch4","No"
"1",0.044,0.844,0.084,0.028,1
"2",0.768,0.08,0.036,0.116,2
"3",0.072,0.7,0.04,0.188,3
"4",0.098,0.62,0.044,0.238,4
"5",0.056,0.704,0.206,0.034,5
"6",0.658,0.086,0.09,0.166,6
"7",0.07,0.846,0.02,0.064,7
"8",0.19,0.646,0.042,0.122,8
"9",0.018,0.766,0.034,0.182,9
"10",0.062,0.716,0.024,0.198,10
"11",0.04,0.788,0.05,0.122,11
"12",0.052,0.666,0.2,0.082,12
"13",0.038,0.65,0.124,0.188,13
"14",0.124,0.214,0.09,0.572,14
"15",0.036,0.842,0.024,0.098,15
"16",0.162,0.108,0.112,0.618,16
"17",0.032,0.716,0.024,0.228,17
"18",0.048,0.848,0.036,0.068,18
"19",0.04,0.762,0.096,0.102,19
"20",0.094,0.826,0.044,0.036,20
"21",0.408,0.234,0.108,0.25,21
"22",0.064,0.098,0.044,0.794,22
"23",0.03,0.276,0.638,0.056,23
"24",0.044,0.116,0.08,0.76,24
"25",0.04,0.108,0.748,0.104,25
"26",0.104,0.06,0.102,0.734,26
"27",0.182,0.094,0.564,0.16,27
"28",0.044,0.038,0.19,0.728,28
"29",0.036,0.12,0.732,0.112,29
"30",0.132,0.112,0.038,0.718,30
"31",0.044,0.072,0.158,0.726,31
"32",0.052,0.098,0.086,0.764,32
"33",0.112,0.048,0.052,0.788,33
"34",0.108,0.034,0.08,0.778,34
"35",0.216,0.288,0.246,0.25,35
"36",0.082,0.11,0.046,0.762,36
"37",0.728,0.04,0.094,0.138,37
"38",0.066,0.168,0.072,0.694,38
"39",0.07,0.65,0.176,0.104,39
"40",0.084,0.668,0.034,0.214,40
"41",0.642,0.128,0.056,0.174,41
"42",0.148,0.024,0.76,0.068,42
"43",0.858,0.036,0.022,0.084,43
"44",0.08,0.138,0.71,0.072,44
"45",0.214,0.104,0.44,0.242,45
"46",0.048,0.686,0.174,0.092,46
"47",0.35,0.164,0.342,0.144,47
"48",0.634,0.254,0.06,0.052,48
"49",0.032,0.792,0.144,0.032,49
"50",0.062,0.852,0.034,0.052,50
"51",0.114,0.036,0.798,0.052,51
"52",0.02,0.924,0.018,0.038,52
"53",0.14,0.03,0.064,0.766,53
"54",0.73,0.094,0.056,0.12,54
"55",0.02,0.096,0.81,0.074,55
"56",0.166,0.324,0.096,0.414,56
"57",0.018,0.116,0.154,0.712,57
"58",0.086,0.06,0.712,0.142,58
"59",0.092,0.152,0.03,0.726,59
"60",0.062,0.698,0.076,0.164,60
"61",0.134,0.31,0.258,0.298,61
"62",0.044,0.052,0.8,0.104,62
"63",0.08,0.08,0.058,0.782,63
"64",0.066,0.77,0.05,0.114,64
"65",0.046,0.04,0.802,0.112,65
"66",0.062,0.102,0.106,0.73,66
"67",0.77,0.038,0.078,0.114,67
"68",0.776,0.078,0.036,0.11,68
"69",0.034,0.134,0.746,0.086,69
"70",0.03,0.07,0.794,0.106,70
"71",0.068,0.79,0.04,0.102,71
"72",0.086,0.306,0.358,0.25,72
"73",0.038,0.706,0.1,0.156,73
"74",0.056,0.762,0.032,0.15,74
"75",0.046,0.068,0.764,0.122,75
"76",0.066,0.04,0.756,0.138,76
"77",0.048,0.044,0.71,0.198,77
"78",0.664,0.046,0.14,0.15,78
"79",0.118,0.122,0.336,0.424,79
"80",0.756,0.052,0.048,0.144,80
"81",0.052,0.742,0.034,0.172,81
"82",0.02,0.13,0.046,0.804,82
"83",0.038,0.044,0.192,0.726,83
"84",0.03,0.834,0.052,0.084,84
"85",0.054,0.672,0.124,0.15,85
"86",0.686,0.078,0.066,0.17,86
"87",0.078,0.036,0.172,0.714,87
"88",0.108,0.036,0.748,0.108,88
"89",0.288,0.124,0.09,0.498,89
"90",0.204,0.246,0.266,0.284,90
"91",0.106,0.724,0.028,0.142,91
"92",0.07,0.728,0.036,0.166,92
"93",0.016,0.084,0.782,0.118,93
"94",0.786,0.07,0.024,0.12,94
"95",0.09,0.072,0.038,0.8,95
"96",0.782,0.038,0.076,0.104,96
"97",0.116,0.052,0.688,0.144,97
"98",0.046,0.676,0.184,0.094,98
"99",0.128,0.556,0.096,0.22,99
"100",0.036,0.112,0.784,0.068,100
"101",0.042,0.68,0.118,0.16,101
"102",0.03,0.662,0.166,0.142,102
"103",0.156,0.068,0.078,0.698,103
"104",0.022,0.17,0.112,0.696,104
"105",0.706,0.034,0.096,0.164,105
"106",0.054,0.874,0.024,0.048,106
"107",0.046,0.112,0.674,0.168,107
"108",0.676,0.178,0.078,0.068,108
"109",0.332,0.094,0.176,0.398,109
"110",0.076,0.024,0.816,0.084,110
"111",0.712,0.066,0.036,0.186,111
"112",0.098,0.654,0.182,0.066,112
"113",0.388,0.136,0.146,0.33,113
"114",0.046,0.904,0.02,0.03,114
"115",0.112,0.224,0.386,0.278,115
"116",0.82,0.074,0.038,0.068,116
"117",0.08,0.044,0.748,0.128,117
"118",0.042,0.81,0.104,0.044,118
"119",0.702,0.09,0.08,0.128,119
"120",0.04,0.724,0.2,0.036,120
"121",0.712,0.15,0.018,0.12,121
"122",0.276,0.34,0.118,0.266,122
"123",0.084,0.81,0.032,0.074,123
"124",0.074,0.14,0.674,0.112,124
"125",0.024,0.78,0.042,0.154,125
"126",0.184,0.258,0.168,0.39,126
"127",0.846,0.032,0.07,0.052,127
"128",0.062,0.83,0.042,0.066,128
"129",0.19,0.502,0.116,0.192,129
"130",0.758,0.08,0.03,0.132,130
"131",0.116,0.072,0.698,0.114,131
"132",0.048,0.792,0.036,0.124,132
"133",0.026,0.032,0.892,0.05,133
"134",0.772,0.052,0.078,0.098,134
"135",0.32,0.176,0.228,0.276,135
"136",0.68,0.068,0.036,0.216,136
"137",0.072,0.074,0.79,0.064,137
"138",0.764,0.066,0.058,0.112,138
"139",0.084,0.062,0.782,0.072,139
"140",0.11,0.182,0.328,0.38,140
"141",0.03,0.044,0.824,0.102,141
"142",0.164,0.09,0.494,0.252,142
"143",0.122,0.082,0.056,0.74,143
"144",0.08,0.112,0.1,0.708,144
"145",0.062,0.172,0.068,0.698,145
"146",0.05,0.104,0.092,0.754,146
"147",0.05,0.118,0.132,0.7,147
"148",0.072,0.126,0.06,0.742,148
"149",0.182,0.348,0.274,0.196,149
"150",0.068,0.702,0.154,0.076,150
"151",0.064,0.154,0.66,0.122,151
"152",0.654,0.112,0.134,0.1,152
"153",0.656,0.142,0.05,0.152,153
"154",0.072,0.074,0.778,0.076,154
"155",0.012,0.118,0.792,0.078,155
"156",0.016,0.896,0.05,0.038,156
"157",0.746,0.062,0.122,0.07,157
"158",0.052,0.058,0.754,0.136,158
"159",0.826,0.034,0.05,0.09,159
"160",0.776,0.076,0.018,0.13,160
"161",0.036,0.9,0.008,0.056,161
"162",0.054,0.784,0.036,0.126,162
"163",0.18,0.03,0.034,0.756,163
"164",0.14,0.074,0.048,0.738,164
"165",0.018,0.836,0.076,0.07,165
"166",0.062,0.04,0.782,0.116,166
"167",0.022,0.834,0.112,0.032,167
"168",0.036,0.136,0.692,0.136,168
"169",0.832,0.032,0.05,0.086,169
"170",0.238,0.118,0.136,0.508,170
"171",0.164,0.062,0.036,0.738,171
"172",0.19,0.278,0.164,0.368,172
"173",0.04,0.832,0.07,0.058,173
"174",0.094,0.244,0.476,0.186,174
"175",0.806,0.09,0.038,0.066,175
"176",0.09,0.128,0.044,0.738,176
"177",0.072,0.068,0.084,0.776,177
"178",0.706,0.104,0.082,0.108,178
"179",0.064,0.08,0.066,0.79,179
"180",0.084,0.09,0.076,0.75,180
"181",0.16,0.214,0.486,0.14,181
"182",0.042,0.07,0.842,0.046,182
"183",0.062,0.85,0.04,0.048,183
"184",0.118,0.312,0.322,0.248,184
"185",0.062,0.082,0.046,0.81,185
"186",0.078,0.824,0.046,0.052,186
"187",0.832,0.072,0.06,0.036,187
"188",0.096,0.726,0.072,0.106,188
"189",0.088,0.052,0.71,0.15,189
"190",0.166,0.298,0.194,0.342,190
"191",0.26,0.204,0.218,0.318,191
"192",0.024,0.118,0.772,0.086,192
"193",0.05,0.148,0.678,0.124,193
"194",0.05,0.674,0.158,0.118,194
"195",0.06,0.128,0.656,0.156,195
"196",0.698,0.194,0.036,0.072,196
"197",0.826,0.114,0.014,0.046,197
"198",0.034,0.352,0.586,0.028,198
"199",0.778,0.02,0.108,0.094,199
"200",0.024,0.622,0.078,0.276,200
"201",0.034,0.796,0.044,0.126,201
"202",0.04,0.014,0.876,0.07,202
"203",0.614,0.046,0.054,0.286,203
"204",0.026,0.03,0.784,0.16,204
"205",0.778,0.012,0.13,0.08,205
"206",0.124,0.088,0.194,0.594,206
"207",0.686,0.124,0.03,0.16,207
"208",0.638,0.26,0.02,0.082,208
"209",0.722,0.054,0.136,0.088,209
"210",0.69,0.086,0.06,0.164,210
"211",0.022,0.816,0.086,0.076,211
"212",0.054,0.068,0.806,0.072,212
"213",0.02,0.104,0.68,0.196,213
"214",0.702,0.184,0.036,0.078,214
"215",0.74,0.038,0.028,0.194,215
"216",0.062,0.058,0.46,0.42,216
"217",0.034,0.038,0.826,0.102,217
"218",0.696,0.032,0.048,0.224,218
"219",0.046,0.748,0.038,0.168,219
"220",0.134,0.676,0.044,0.146,220
"221",0.17,0.038,0.706,0.086,221
"222",0.028,0.014,0.768,0.19,222
"223",0.754,0.028,0.116,0.102,223
"224",0.054,0.064,0.644,0.238,224
"225",0.724,0.04,0.03,0.206,225
"226",0.032,0.06,0.712,0.196,226
"227",0.654,0.164,0.08,0.102,227
"228",0.756,0.058,0.032,0.154,228
"229",0.02,0.138,0.072,0.77,229
"230",0.092,0.132,0.028,0.748,230
"231",0.224,0.044,0.034,0.698,231
"232",0.104,0.104,0.09,0.702,232
"233",0.094,0.03,0.124,0.752,233
"234",0.138,0.024,0.11,0.728,234
"235",0.2,0.03,0.05,0.72,235
"236",0.39,0.122,0.112,0.376,236
"237",0.118,0.126,0.04,0.716,237
"238",0.036,0.034,0.242,0.688,238
"239",0.07,0.02,0.216,0.694,239
"240",0.042,0.2,0.024,0.734,240
"241",0.058,0.03,0.876,0.036,241
"242",0.038,0.02,0.23,0.712,242
"243",0.066,0.244,0.03,0.66,243
"244",0.02,0.016,0.272,0.692,244
"245",0.06,0.222,0.038,0.68,245
"246",0.23,0.024,0.04,0.706,246
"247",0.022,0.916,0.034,0.028,247
"248",0.726,0.042,0.164,0.068,248
"249",0.026,0.122,0.046,0.806,249
"250",0.032,0.08,0.81,0.078,250
"251",0.392,0.222,0.124,0.262,251
"252",0.052,0.09,0.052,0.806,252
"253",0.218,0.206,0.158,0.418,253
"254",0.272,0.38,0.106,0.242,254
"255",0.096,0.258,0.108,0.538,255
"256",0.812,0.084,0.04,0.064,256
"257",0.042,0.04,0.81,0.108,257
"258",0.244,0.138,0.212,0.406,258
"259",0.114,0.78,0.04,0.066,259
"260",0.044,0.038,0.066,0.852,260
"261",0.332,0.172,0.142,0.354,261
"262",0.08,0.182,0.514,0.224,262
"263",0.028,0.83,0.046,0.096,263
"264",0.134,0.128,0.138,0.6,264
"265",0.062,0.04,0.06,0.838,265
"266",0.042,0.078,0.788,0.092,266
"267",0.074,0.12,0.448,0.358,267
"268",0.686,0.238,0.042,0.034,268
"269",0.042,0.308,0.618,0.032,269
"270",0.154,0.29,0.126,0.43,270
"271",0.666,0.282,0.022,0.03,271
"272",0.72,0.038,0.062,0.18,272
"273",0.042,0.042,0.732,0.184,273
"274",0.04,0.696,0.02,0.244,274
"275",0.026,0.072,0.038,0.864,275
"276",0.052,0.87,0.042,0.036,276
"277",0.042,0.79,0.032,0.136,277
"278",0.06,0.818,0.044,0.078,278
"279",0.04,0.886,0.02,0.054,279
"280",0.186,0.148,0.13,0.536,280
"281",0.75,0.052,0.046,0.152,281
"282",0.03,0.052,0.768,0.15,282
"283",0.684,0.076,0.024,0.216,283
"284",0.038,0.016,0.2,0.746,284
"285",0.066,0.042,0.04,0.852,285
"286",0.058,0.836,0.034,0.072,286
"287",0.068,0.038,0.706,0.188,287
"288",0.108,0.064,0.712,0.116,288
"289",0.13,0.046,0.026,0.798,289
"290",0.108,0.466,0.124,0.302,290
"291",0.15,0.068,0.526,0.256,291
"292",0.058,0.708,0.072,0.162,292
"293",0.118,0.072,0.078,0.732,293
"294",0.128,0.128,0.038,0.706,294
"295",0.342,0.22,0.172,0.266,295
"296",0.08,0.082,0.054,0.784,296
"297",0.132,0.036,0.044,0.788,297
"298",0.77,0.058,0.044,0.128,298
"299",0.03,0.816,0.058,0.096,299
"300",0.036,0.786,0.064,0.114,300
"301",0.288,0.18,0.284,0.248,301
"302",0.158,0.296,0.158,0.388,302
"303",0.078,0.802,0.036,0.084,303
"304",0.328,0.096,0.25,0.326,304
"305",0.144,0.238,0.238,0.38,305
"306",0.02,0.208,0.7,0.072,306
"307",0.094,0.162,0.708,0.036,307
"308",0.19,0.674,0.03,0.106,308
"309",0.03,0.694,0.172,0.104,309
"310",0.714,0.05,0.126,0.11,310
"311",0.25,0.058,0.01,0.682,311
"312",0.736,0.07,0.094,0.1,312
"313",0.836,0.038,0.066,0.06,313
"314",0.822,0.07,0.03,0.078,314
"315",0.044,0.712,0.016,0.228,315
"316",0.128,0.592,0.052,0.228,316
"317",0.182,0.684,0.034,0.1,317
"318",0.026,0.912,0.036,0.026,318
